Image_path,Condition,Amount
img_4538519.jpg,1,4200.76
img_7766002.jpg,1,4133.36
img_4637390.jpg,1,4197.74
img_4516108.jpg,1,4514.64
img_4517008.jpg,1,3818.31
img_7766273.jpg,1,4853.05
img_4638351.jpg,1,4974.93
img_4635542.jpg,1,4468.23
img_4638631.jpg,1,4604.84
img_7767742.jpg,1,4383.08
img_4538466.jpg,1,4257.89
img_4536923.jpg,1,4238.37
img_4636354.jpg,1,3908.35
img_4537746.jpg,1,4681.7
img_4635936.jpg,1,4120.85
img_7765021.jpg,1,4153.77
img_4535904.jpg,1,3769.3
img_7768206.jpg,1,4344.4
img_4537049.jpg,1,4403.21
img_7765468.jpg,1,4850.42
img_7766237.jpg,1,4170.41
img_4515135.jpg,1,4487.95
img_4635261.jpg,1,4195.37
img_4637068.jpg,1,4640.6
img_4514590.jpg,1,4342.54
img_4635133.jpg,1,3734.0
img_463748.jpg,0,0.0
img_7766331.jpg,1,4336.03
img_4514655.jpg,1,4074.22
img_4536950.jpg,1,3845.7
img_4536549.jpg,1,4310.6
img_4514735.jpg,1,4244.1
img_7767203.jpg,1,4808.01
img_4517736.jpg,1,4566.8
img_4534656.jpg,1,4499.16
img_4517740.jpg,1,4580.44
img_4518809.jpg,1,4100.15
img_4517821.jpg,1,4296.19
img_4516858.jpg,1,4568.87
img_7764732.jpg,1,4059.6
img_4636184.jpg,1,4137.62
img_7767002.jpg,1,5013.95
img_4637472.jpg,1,4498.99
img_4516753.jpg,1,4364.93
img_4634792.jpg,1,4253.06
img_4515657.jpg,1,4006.77
img_7766905.jpg,1,4731.11
img_4536355.jpg,1,4644.2
img_4637676.jpg,1,4019.96
img_4634803.jpg,1,4156.89
img_7767143.jpg,1,4279.36
img_4518771.jpg,0,0.0
img_4638860.jpg,1,4315.91
img_7768900.jpg,1,4373.7
img_7768692.jpg,1,4777.49
img_4536432.jpg,1,4664.48
img_4536161.jpg,1,4461.03
img_4637563.jpg,1,4053.13
img_4535791.jpg,1,4597.7
img_4538967.jpg,0,0.0
img_4517487.jpg,1,4517.07
img_4515573.jpg,1,4400.37
img_4515070.jpg,1,4946.89
img_4518530.jpg,0,0.0
img_4514068.jpg,0,0.0
img_4518304.jpg,1,4384.44
img_4535599.jpg,1,4324.66
img_4538111.jpg,1,4041.25
img_4535651.jpg,1,5260.56
img_4637461.jpg,1,4134.17
img_4518886.jpg,1,4425.61
img_4536909.jpg,1,4417.68
img_4535915.jpg,1,4485.27
img_4537227.jpg,1,4273.08
img_4635685.jpg,1,4006.02
img_4634881.jpg,1,3614.15
img_4515270.jpg,1,3792.66
img_7765839.jpg,1,4569.27
img_4514817.jpg,1,4518.63
img_7764892.jpg,0,0.0
img_4537277.jpg,1,4384.54
img_4512558.jpg,0,0.0
img_4638104.jpg,1,4165.22
img_4535355.jpg,1,4112.71
img_4538666.jpg,1,4296.07
img_4517413.jpg,1,5066.46
img_4516169.jpg,1,4581.53
img_4638838.jpg,1,4874.41
img_4635349.jpg,1,4555.06
img_4516955.jpg,1,4410.33
img_7761193.jpg,0,0.0
img_7768453.jpg,1,4645.48
img_4535907.jpg,1,4369.63
img_4638039.jpg,1,4040.8
img_4635251.jpg,1,4422.3
img_4517890.jpg,1,4364.07
img_4635924.jpg,1,4492.14
img_4536852.jpg,1,3739.42
img_4635438.jpg,1,4083.14
img_4533213.jpg,0,0.0
img_4535221.jpg,1,3930.42
img_7764900.jpg,1,4357.17
img_4516850.jpg,1,3629.81
img_4518869.jpg,1,4009.37
img_7768651.jpg,1,4465.68
img_4535339.jpg,1,3741.9
img_4517898.jpg,1,3992.92
img_4538715.jpg,1,4990.88
img_4515174.jpg,1,4181.79
img_4637198.jpg,1,4882.85
img_4517885.jpg,1,4179.31
img_4517850.jpg,1,4452.34
img_7767318.jpg,1,4592.43
img_4534644.jpg,1,4128.98
img_7766077.jpg,1,3838.72
img_7767411.jpg,1,4282.22
img_4535121.jpg,1,4425.09
img_4638027.jpg,1,4149.57
img_7767723.jpg,1,4203.02
img_4635199.jpg,1,4281.29
img_4638997.jpg,1,4127.55
img_7764739.jpg,1,4432.76
img_4536645.jpg,1,4595.9
img_4637824.jpg,0,0.0
img_4638579.jpg,1,4053.62
img_7766084.jpg,1,4099.0
img_4638188.jpg,1,5125.58
img_4515748.jpg,1,5176.92
img_4514549.jpg,1,4157.82
img_4637094.jpg,1,3958.59
img_4514780.jpg,1,4242.82
img_4518865.jpg,1,4184.8
img_4537562.jpg,1,3915.77
img_4538693.jpg,1,4414.14
img_4516634.jpg,1,4736.02
img_4636150.jpg,1,4077.51
img_7766145.jpg,1,4619.85
img_4518894.jpg,1,4973.63
img_4516401.jpg,1,5083.15
img_7766079.jpg,1,4965.7
img_4536768.jpg,1,4244.57
img_4517518.jpg,1,4197.11
img_4537892.jpg,1,4564.3
img_4515118.jpg,1,4420.08
img_4635893.jpg,1,5015.79
img_4518607.jpg,1,4297.08
img_4517801.jpg,1,3862.53
img_7766767.jpg,1,4548.36
img_4517211.jpg,1,4510.3
img_4638748.jpg,1,4589.47
img_4534645.jpg,1,4366.51
img_7767522.jpg,1,4583.31
img_7767014.jpg,1,4476.01
img_7766300.jpg,1,3930.61
img_4638881.jpg,1,4693.92
img_4516580.jpg,1,4015.31
img_7768772.jpg,1,4160.43
img_4514678.jpg,1,4546.18
img_4536298.jpg,1,4677.2
img_4515064.jpg,1,4197.73
img_4513264.jpg,0,0.0
img_4538436.jpg,1,4438.78
img_7768114.jpg,1,4035.11
img_4517243.jpg,1,4300.05
img_4635397.jpg,1,4366.87
img_4635974.jpg,1,4452.8
