ID,Won_Championship
1,0
5,0
6,0
7,0
9,0
11,0
14,0
26,0
39,0
56,0
61,0
68,0
72,0
74,0
75,0
77,0
78,0
83,0
84,0
86,0
89,0
91,0
99,0
104,0
106,0
107,0
108,0
110,0
113,0
114,0
119,0
122,0
123,0
126,0
132,0
135,0
139,0
140,0
142,0
143,0
144,0
145,0
149,0
150,0
151,0
152,0
153,0
154,0
156,0
157,0
158,0
162,0
163,0
164,0
171,0
172,0
174,0
180,0
182,0
186,0
190,0
193,0
197,0
200,0
207,0
210,0
212,0
213,0
215,0
216,0
220,0
223,0
225,0
226,0
229,0
234,0
236,0
239,0
240,0
244,0
245,0
248,0
250,0
254,0
255,0
256,0
263,0
264,0
265,0
266,0
267,0
270,0
271,0
272,0
273,0
274,0
275,0
277,0
280,0
281,0
282,0
284,0
286,0
288,0
293,0
295,0
296,0
299,0
301,0
305,0
309,0
310,0
311,0
315,0
320,0
323,0
329,0
332,0
334,0
335,0
336,0
338,0
339,0
340,0
341,0
342,0
345,0
346,0
347,0
348,0
352,0
355,0
358,0
360,0
361,0
366,0
367,0
370,0
374,0
375,0
377,0
379,0
381,0
383,0
386,0
387,0
389,0
393,0
394,0
397,0
400,0
408,0
409,0
410,0
418,0
425,0
430,0
434,0
438,0
439,0
440,0
441,0
446,0
452,0
456,0
461,0
462,0
465,0
468,0
473,0
474,0
477,0
478,0
480,0
482,0
484,0
486,0
487,0
488,0
489,0
493,0
496,0
497,0
498,0
499,0
504,0
506,0
510,0
511,0
513,0
516,0
527,0
529,0
530,0
532,0
537,0
542,0
547,0
548,0
549,0
555,0
557,0
558,0
563,0
565,0
568,0
574,0
580,0
582,0
583,0
589,0
591,0
592,0
595,0
596,0
600,0
605,0
606,0
607,0
609,0
612,0
613,0
617,0
620,0
622,0
624,0
627,0
628,0
630,0
631,0
632,0
633,0
635,0
636,0
637,0
638,0
639,0
641,0
642,0
644,0
647,0
648,0
659,0
660,0
663,0
666,0
668,0
670,0
677,0
681,0
682,0
684,0
685,0
689,0
694,0
695,0
697,0
699,0
706,0
707,0
713,0
714,0
716,0
727,0
729,0
732,0
735,0
736,0
739,0
740,0
741,0
745,0
748,0
753,0
756,0
759,0
760,0
765,0
767,0
770,0
771,0
774,0
779,0
780,0
782,0
788,0
790,0
795,0
796,0
798,0
802,0
804,0
805,0
806,0
809,0
812,0
816,0
822,0
823,0
825,0
827,0
829,0
832,0
837,0
842,0
843,0
844,0
846,0
848,0
849,0
852,0
853,0
857,0
861,0
862,0
865,0
866,0
870,0
875,0
876,0
877,0
878,0
879,0
881,0
882,0
887,0
890,0
891,0
897,0
898,0
901,0
903,0
906,0
908,0
909,0
911,0
913,0
916,0
917,0
920,0
924,0
928,0
929,0
933,0
938,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
961,0
968,0
969,0
970,0
977,0
982,0
993,0
994,0
998,0
1001,0
1002,0
1007,0
1011,0
1013,0
1016,0
1017,0
1018,0
1024,0
1027,0
1030,0
1034,0
1036,0
1037,0
1041,0
1044,0
1046,0
1047,0
1048,0
1049,0
1052,0
1059,0
1061,0
1063,0
1065,0
1071,0
1078,0
1080,0
1083,0
1085,0
1091,0
1092,0
1097,0
1100,0
1103,0
1104,0
1105,0
1106,0
1110,0
1115,0
1118,0
1119,0
1121,0
1123,0
1127,0
1128,0
1130,0
1132,0
1134,0
1135,0
1141,0
1144,0
1148,0
1150,0
1151,0
1157,0
1165,0
1167,0
1170,0
1171,0
1177,0
1181,0
1183,0
1189,0
1193,0
1197,0
1200,0
1205,0
1206,0
1208,0
1215,0
1217,0
1218,0
1220,0
1223,0
1224,0
1225,0
1226,0
1229,0
1232,0
1240,0
1242,0
1244,0
1246,0
1252,0
1253,0
1254,0
1255,0
1256,0
1260,0
1261,0
1264,0
1266,0
1268,0
1271,0
1275,0
1276,0
1280,0
1281,0
1282,0
1288,0
1289,0
1290,0
1294,0
1304,0
1306,0
1309,0
1311,0
1315,0
1316,0
1321,0
1322,0
1332,0
1336,0
1342,0
1345,0
1347,0
1350,0
1351,0
1354,0
1355,0
1356,0
1357,0
1359,0
1361,0
1363,0
1365,0
1369,0
1370,0
1371,0
1373,0
1376,0
1378,0
1379,0
1380,0
1382,0
1384,0
1391,0
1393,0
1394,0
1398,0
1399,0
1400,0
1401,0
1404,0
1405,0
1410,0
1414,0
1418,0
1419,0
1421,0
1431,0
1437,0
1453,0
1460,0
1464,0
1469,0
1471,0
1473,0
1475,0
1479,0
1483,0
1489,0
1493,0
1498,0
1502,0
1504,0
1508,0
1511,0
1513,0
1518,0
1520,0
1526,0
1529,0
1539,0
1543,0
1546,0
1548,0
1550,0
1552,0
1560,0
1563,0
1571,0
1572,0
1573,0
1577,0
1578,0
1581,0
1583,0
1587,0
1588,0
1589,0
1590,0
1592,0
1594,0
1596,0
1600,0
1601,0
1602,0
1604,0
1605,0
1607,0
1608,0
1610,0
1617,0
1632,0
1634,0
1641,0
1642,0
1643,0
1644,0
1648,0
1658,0
1659,0
1663,0
1664,0
1667,0
1668,0
1669,0
1673,0
1674,0
1676,0
1680,0
1682,0
1686,0
1687,0
1694,0
1696,0
1698,0
1706,0
1707,0
1708,0
1710,0
1711,0
1712,0
1717,0
1718,0
1720,0
1722,0
1733,0
1734,0
1739,0
1742,0
1747,0
1748,0
1751,0
1752,0
1753,0
1759,0
1766,0
1768,0
1770,0
1775,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1786,0
1788,0
1795,0
1796,0
1798,0
1799,0
1804,0
1806,0
1811,0
1812,0
1823,0
1824,0
1829,0
1838,0
1839,0
1840,0
1847,0
1848,0
1849,0
1858,0
1861,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1872,0
1874,0
1876,0
1880,0
1883,0
1890,0
1891,0
1892,0
1897,0
1898,0
1899,0
1900,0
1908,0
1909,0
1914,0
1916,0
1920,0
1921,0
1922,0
1937,0
1938,0
1939,0
1942,0
1951,0
1958,0
1961,0
1962,0
1964,0
1965,0
1974,0
1984,0
1988,0
1991,0
1992,0
1993,0
1994,0
1996,0
2001,0
2002,0
2007,0
2008,0
2013,0
2016,0
2030,0
2033,0
2035,0
2036,0
2038,0
2041,0
2050,0
2052,0
2053,0
2062,0
2063,0
2064,0
2068,0
2072,0
2074,0
2076,0
2077,0
2078,0
2079,0
2081,0
2082,0
2086,0
2091,0
2095,0
2104,0
2110,0
2112,0
2113,0
2114,0
2121,0
2123,0
2126,0
2127,0
2130,0
2135,0
2138,0
2142,0
2144,0
2146,0
2147,0
2149,0
2151,0
2152,0
2155,0
2158,0
2166,0
2167,0
2174,0
2175,0
2178,0
2179,0
2185,0
2186,0
2187,0
2189,0
2193,0
2197,0
2199,0
2203,0
2204,0
2205,0
2207,0
2210,0
2215,0
2216,0
2217,0
2218,0
2221,0
2225,0
2228,0
2231,0
2233,0
2236,0
2237,0
2241,0
2253,0
2254,0
2261,0
2263,0
2264,0
2265,0
2268,0
2270,0
2272,0
2273,0
2276,0
2278,0
2279,0
2282,0
2284,0
2286,0
2287,0
2292,0
2296,0
2297,0
2298,0
2302,0
2303,0
2304,0
2309,0
2310,0
2314,0
2316,0
2320,0
2327,0
2328,0
2332,0
2334,0
2335,0
2339,0
2340,0
2341,0
2349,0
2353,0
2355,0
2357,0
2359,0
2364,0
2366,0
2373,0
2374,0
2381,0
2382,0
2383,0
2390,0
2391,0
2392,0
2401,0
2403,0
2408,0
2409,0
2410,0
2412,0
2415,0
2416,0
2423,0
2426,0
2431,0
2432,0
2434,0
2437,0
2438,0
2439,0
2440,0
2441,0
2445,0
2450,0
2452,0
2455,0
2460,0
2462,0
2463,0
2467,0
2472,0
2480,0
2486,0
2487,0
2488,0
2492,0
2493,0
2503,0
2505,0
2509,0
2512,0
2513,0
2516,0
2517,0
2519,0
2520,0
2521,0
2523,0
2525,0
2526,0
2528,0
2530,0
2533,0
2535,0
2539,0
2540,0
2541,0
2545,0
2546,0
2552,0
2554,0
2555,0
2557,0
2566,0
2568,0
2571,0
2575,0
2580,0
2582,0
2584,0
2590,0
2593,0
2594,0
2598,0
2600,0
2603,0
2607,0
2613,0
2617,0
2618,0
2620,0
2623,0
2630,0
2631,0
2637,0
2638,0
2642,0
2648,0
2649,0
2660,0
2663,0
2665,0
2666,0
2668,0
2669,0
2672,0
2675,0
2676,0
2678,0
2686,0
2690,0
2691,0
2692,0
2697,0
2707,0
2709,0
2711,0
2718,0
2722,0
2726,0
2727,0
2728,0
2729,0
2730,0
2733,0
2736,0
2737,0
2739,0
2741,0
2747,0
2751,0
2753,0
2754,0
2764,0
2774,0
2775,0
2778,0
2779,0
2781,0
2782,0
2784,0
2785,0
2787,0
2790,0
2798,0
2802,0
2803,0
2805,0
2808,0
2814,0
2816,0
2818,0
2820,0
2822,0
2826,0
2829,0
2831,0
2832,0
2833,0
2834,0
2835,0
2838,0
2845,0
2846,0
2849,0
2851,0
2853,0
2854,0
2855,0
2858,0
2860,0
2862,0
2863,0
2866,0
2867,0
2870,0
2872,0
2875,0
2876,0
2883,0
2888,0
2889,0
2895,0
2901,0
2904,0
2905,0
2907,0
2908,0
2912,0
2913,0
2916,0
2917,0
2920,0
2922,0
2923,0
2929,0
2934,0
2935,0
2940,0
2949,0
2951,0
2954,0
2957,0
2963,0
2965,0
2972,0
2976,0
2978,0
2982,0
2983,0
2984,0
2987,0
2988,0
2990,0
2992,0
2998,0
2999,0
3000,0
3008,0
3010,0
3015,0
3022,0
3024,0
3027,0
3028,0
3032,0
3040,0
3042,0
3046,0
3048,0
3049,0
3050,0
3051,0
3052,0
3054,0
3057,0
3064,0
3066,0
3068,0
3071,0
3076,0
3077,0
3089,0
3091,0
3092,0
3094,0
3097,0
3099,0
3100,0
3103,0
3104,0
3105,0
3106,0
3109,0
3110,0
3112,0
3113,0
3115,0
3117,0
3119,0
3124,0
3125,0
3127,0
3129,0
3134,0
3138,0
3141,0
3142,0
3143,0
3147,0
3148,0
3149,0
3153,0
3154,0
3156,0
3157,0
3160,0
3161,0
3165,0
3168,0
3171,0
3172,0
3177,0
3179,0
3180,0
3181,0
3182,0
3184,0
3189,0
3191,0
3194,0
3195,0
3197,0
3201,0
3202,0
3203,0
3207,0
3209,0
3214,0
3217,0
3218,0
3221,0
3225,0
3227,0
3229,0
3230,0
3231,0
3233,0
3235,0
3237,0
3241,0
3249,0
3253,0
3254,0
3259,0
3261,0
3264,0
3271,0
3274,0
3275,0
3276,0
3277,0
3278,0
3279,0
3280,0
3281,0
3284,0
3286,0
3290,0
3293,0
3296,0
3297,0
3298,0
3300,0
3302,0
3304,0
3305,0
3308,0
3312,0
3314,0
3316,0
3318,0
3320,0
3321,0
3323,0
3324,0
3325,0
3327,0
3330,0
3333,0
3334,0
3335,0
3336,0
3339,0
3343,0
3344,0
3346,0
3358,0
3360,0
3365,0
3366,0
3370,0
3374,0
3378,0
3384,0
3389,0
3390,0
3392,0
3393,0
3398,0
3399,0
3402,0
3403,0
3404,0
3406,0
3407,0
3410,0
3418,0
3423,0
3424,0
3428,0
3430,0
3433,0
3436,0
3437,0
3439,0
3445,0
3446,0
3448,0
3449,0
3450,0
3451,0
3452,0
3454,0
3455,0
3457,0
3460,0
3463,0
3464,0
3466,0
3467,0
3472,0
3475,0
3479,0
3482,0
3484,0
3495,0
3496,0
3501,0
3502,0
3503,0
3511,0
3512,0
3518,0
3519,0
3523,0
3526,0
3527,0
3528,0
3533,0
3534,0
3535,0
3536,0
3537,0
3543,0
3546,0
3549,0
3550,0
3557,0
3559,0
3561,0
3569,0
3574,0
3575,0
3578,0
3584,0
3588,0
3592,0
3597,0
3599,0
3603,0
3609,0
3610,0
3611,0
3616,0
3617,0
3620,0
3623,0
3625,0
3626,0
3628,0
3630,0
3632,0
3633,0
3638,0
3639,0
3640,0
3651,0
3652,0
3653,0
3656,0
3657,0
3661,0
3663,0
3672,0
3675,0
3679,0
3680,0
3688,0
3690,0
3693,0
3695,0
3696,0
3697,0
3705,0
3706,0
3711,0
3712,0
3713,0
3720,0
3735,0
3736,0
3741,0
3743,0
3753,0
3755,0
3758,0
3762,0
3766,0
3768,0
3774,0
3778,0
3780,0
3782,0
3784,0
3785,0
3789,0
3794,0
3807,0
3813,0
3826,0
3829,0
3830,0
3833,0
3836,0
3837,0
3841,0
3843,0
3851,0
3855,0
3856,0
3866,0
3873,0
3876,0
3878,0
3879,0
3885,0
3889,0
3892,0
3893,0
3895,0
3897,0
3900,0
3902,0
3904,0
3905,0
3907,0
3908,0
3909,0
3919,0
3921,0
3924,0
3926,0
3927,0
3932,0
3934,0
3940,0
